feature	seed	run	result	reason	stage	summary
real_armor	3000	1	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	3000	2	FAIL	assertion_failed status=shelter Emergency shelter placed=2 remaining=0	other	0/1 PASS: {real_armor=FAIL:assertion_failed status=shelter Emergency shelter placed=2 remaining=0}
real_armor	155361719	1	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	155361719	2	FAIL	smelt_timeout	smelt	0/1 PASS: {real_armor=FAIL:smelt_timeout}
real_armor	632510390	1	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	632510390	2	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	111	1	FAIL	smelt_timeout	smelt	0/1 PASS: {real_armor=FAIL:smelt_timeout}
real_armor	111	2	FAIL	guard_low_hp_under_attack	other	0/1 PASS: {real_armor=FAIL:guard_low_hp_under_attack}
real_armor	700	1	FAIL	verify_timeout status=mine_ore OreDig 0/7 ->14	timeout	0/1 PASS: {real_armor=FAIL:verify_timeout status=mine_ore OreDig 0/7 ->14,35,14}
real_armor	700	2	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	4040404	1	PASS	PASS	pass	1/1 PASS: {real_armor=PASS}
real_armor	4040404	2	FAIL	assertion_failed status=combat Attacking minecraft:zombie_villager 0/1 phase=APPROACH	other	0/1 PASS: {real_armor=FAIL:assertion_failed status=combat Attacking minecraft:zombie_villager 0/1 phase=APPROACH}
ALLDONE
