feature	seed	run	result	reason	stage	summary
real_build	105441651	1	FAIL	need: minecraft:birch_log x11	other	0/1 PASS: {real_build=FAIL:need: minecraft:birch_log x11}
real_build	1061665215	1	FAIL	no_flat_site	other	0/1 PASS: {real_build=FAIL:no_flat_site}
real_build	155361719	1	FAIL	need: minecraft:oak_log x5	other	0/1 PASS: {real_build=FAIL:need: minecraft:oak_log x5}
real_build	206232996	1	FAIL	path_to_build_failed: pathfinding_throttled	other	0/1 PASS: {real_build=FAIL:path_to_build_failed: pathfinding_throttled}
real_build	42414950	1	FAIL	assertion_failed status=build Building small_hut at -3	other	0/1 PASS: {real_build=FAIL:assertion_failed status=build Building small_hut at -3,72,-10 116/116 phase=BUILD note=auto_site=-3,72,-10}
real_build	456718736	1	FAIL	no_flat_site	other	0/1 PASS: {real_build=FAIL:no_flat_site}
real_build	586434987	1	FAIL	no_flat_site	other	0/1 PASS: {real_build=FAIL:no_flat_site}
real_build	632510390	1	FAIL	need: minecraft:oak_log x14	other	0/1 PASS: {real_build=FAIL:need: minecraft:oak_log x14}
real_build	633819475	1	FAIL	no_flat_site	other	0/1 PASS: {real_build=FAIL:no_flat_site}
real_build	715809951	1	FAIL	no_flat_site	other	0/1 PASS: {real_build=FAIL:no_flat_site}
ALLDONE
