feature	seed	run	result	reason	stage	summary
real_diamond	111	1	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	111	2	FAIL	assertion_failed status=light_area Lighting radius=8 placed=1/8 phase=WALK	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=light_area Lighting radius=8 placed=1/8 phase=WALK}
real_diamond	111	3	FAIL	assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=REPOSITION	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=REPOSITION}
real_diamond	222222	1	FAIL	ore_dig_timeout collected=0	timeout	0/1 PASS: {real_diamond=FAIL:ore_dig_timeout collected=0}
real_diamond	222222	2	FAIL	aborted	aborted	0/1 PASS: {real_diamond=FAIL:aborted}
real_diamond	222222	3	FAIL	assertion_failed status=shelter Emergency shelter placed=9 remaining=0	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=shelter Emergency shelter placed=9 remaining=0}
real_diamond	88888	1	FAIL	assertion_failed status=combat Attacking minecraft:zombie 1/1 phase=REPOSITION	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=combat Attacking minecraft:zombie 1/1 phase=REPOSITION}
real_diamond	88888	2	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	88888	3	FAIL	assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE}
real_diamond	4040404	1	FAIL	smelt_timeout	smelt	0/1 PASS: {real_diamond=FAIL:smelt_timeout}
real_diamond	4040404	2	FAIL	assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=APPROACH	other	0/1 PASS: {real_diamond=FAIL:assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=APPROACH}
real_diamond	4040404	3	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	700	1	FAIL	verify_timeout status=mine_ore OreDig 0/3 ->-10	timeout	0/1 PASS: {real_diamond=FAIL:verify_timeout status=mine_ore OreDig 0/3 ->-10,51,12}
real_diamond	700	2	PASS	PASS	pass	1/1 PASS: {real_diamond=PASS}
real_diamond	700	3	FAIL	verify_timeout status=mine_ore OreDig 0/3 ->23	timeout	0/1 PASS: {real_diamond=FAIL:verify_timeout status=mine_ore OreDig 0/3 ->23,50,-33}
real_diamond	1234567	1	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	1234567	2	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
real_diamond	1234567	3	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond=FAIL:no_resource_nearby}
ALLDONE
