feature	seed	run	result	reason	stage	summary
real_diamond3	105441651	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=3/8 phase=DONE	other	0/1 PASS: {real_diamond3=FAIL:assertion_failed status=light_area Lighting radius=8 placed=3/8 phase=DONE}
real_diamond3	1061665215	1	FAIL	ore_dig_timeout collected=0	timeout	0/1 PASS: {real_diamond3=FAIL:ore_dig_timeout collected=0}
real_diamond3	155361719	1	PASS	PASS	pass	1/1 PASS: {real_diamond3=PASS}
real_diamond3	206232996	1	FAIL	assertion_failed status=combat Attacking minecraft:bogged 0/1 phase=APPROACH	other	0/1 PASS: {real_diamond3=FAIL:assertion_failed status=combat Attacking minecraft:bogged 0/1 phase=APPROACH}
real_diamond3	42414950	1	FAIL	ore_dig_drowning_abort	other	0/1 PASS: {real_diamond3=FAIL:ore_dig_drowning_abort}
real_diamond3	456718736	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=2/8 phase=WALK	other	0/1 PASS: {real_diamond3=FAIL:assertion_failed status=light_area Lighting radius=8 placed=2/8 phase=WALK}
real_diamond3	586434987	1	FAIL	gather_timeout	wood_gather	0/1 PASS: {real_diamond3=FAIL:gather_timeout}
real_diamond3	632510390	1	FAIL	ore_dig_no_progress collected=0	ore_dig	0/1 PASS: {real_diamond3=FAIL:ore_dig_no_progress collected=0}
real_diamond3	633819475	1	FAIL	ore_dig_timeout collected=0	timeout	0/1 PASS: {real_diamond3=FAIL:ore_dig_timeout collected=0}
real_diamond3	715809951	1	FAIL	no_resource_nearby	wood_gather	0/1 PASS: {real_diamond3=FAIL:no_resource_nearby}
ALLDONE
