feature	seed	run	result	reason	stage	summary
real_food	633819475	1	FAIL	no_raw_food	other	0/1 PASS: {real_food=FAIL:no_raw_food}
real_food	586434987	1	FAIL	verify_timeout status=gather Gathering minecraft:oak_log 0/6 phase=GOTO	timeout	0/1 PASS: {real_food=FAIL:verify_timeout status=gather Gathering minecraft:oak_log 0/6 phase=GOTO}
real_food	105441651	1	PASS	PASS	pass	1/1 PASS: {real_food=PASS}
real_food	206232996	1	FAIL	assertion_failed status=smelt Smelting minecraft:chicken -> minecraft:cooked_chicken 2/4 phase=LOADING	smelt	0/1 PASS: {real_food=FAIL:assertion_failed status=smelt Smelting minecraft:chicken -> minecraft:cooked_chicken 2/4 phase=LOADING}
real_food	632510390	1	ERR	NO_SUMMARY	server_err	NO_SUMMARY
real_food	42414950	1	FAIL	assertion_failed status=recover_drops Recovering drops at -77	other	0/1 PASS: {real_food=FAIL:assertion_failed status=recover_drops Recovering drops at -77,65,24}
real_food	1061665215	1	FAIL	assertion_failed status=smelt Smelting minecraft:chicken -> minecraft:cooked_chicken 1/4 phase=LOADING	smelt	0/1 PASS: {real_food=FAIL:assertion_failed status=smelt Smelting minecraft:chicken -> minecraft:cooked_chicken 1/4 phase=LOADING}
real_food	715809951	1	PASS	PASS	pass	1/1 PASS: {real_food=PASS}
real_food	456718736	1	FAIL	assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=REPOSITION	other	0/1 PASS: {real_food=FAIL:assertion_failed status=combat Attacking minecraft:skeleton 0/1 phase=REPOSITION}
real_food	155361719	1	FAIL	assertion_failed status=smelt Smelting minecraft:porkchop -> minecraft:cooked_porkchop 3/4 phase=LOADING	smelt	0/1 PASS: {real_food=FAIL:assertion_failed status=smelt Smelting minecraft:porkchop -> minecraft:cooked_porkchop 3/4 phase=LOADING}
ALLDONE
