feature	seed	run	result	reason	stage	summary
real_iron_bulk	3000	1	PASS	PASS	pass	1/1 PASS: {real_iron_bulk=PASS}
real_iron_bulk	3000	2	PASS	PASS	pass	1/1 PASS: {real_iron_bulk=PASS}
real_iron_bulk	155361719	1	ERR	NO_SUMMARY	server_err	NO_SUMMARY
real_iron_bulk	155361719	2	FAIL	no_prey_found roams=11	other	0/1 PASS: {real_iron_bulk=FAIL:no_prey_found roams=11}
real_iron_bulk	632510390	1	ERR	NO_SUMMARY	server_err	NO_SUMMARY
real_iron_bulk	632510390	2	FAIL	guard_drowning	other	0/1 PASS: {real_iron_bulk=FAIL:guard_drowning}
real_iron_bulk	111	1	FAIL	assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=light_area Lighting radius=8 placed=8/8 phase=PLACE}
real_iron_bulk	111	2	FAIL	assertion_failed status=combat Attacking minecraft:zombie 0/1 phase=BLOCK	other	0/1 PASS: {real_iron_bulk=FAIL:assertion_failed status=combat Attacking minecraft:zombie 0/1 phase=BLOCK}
real_iron_bulk	700	1	FAIL	ore_dig_drowning_abort	other	0/1 PASS: {real_iron_bulk=FAIL:ore_dig_drowning_abort}
real_iron_bulk	700	2	FAIL	ore_dig_drowning_abort	other	0/1 PASS: {real_iron_bulk=FAIL:ore_dig_drowning_abort}
real_iron_bulk	4040404	1	ERR	NO_SUMMARY	server_err	NO_SUMMARY
real_iron_bulk	4040404	2	ERR	NO_SUMMARY	server_err	NO_SUMMARY
ALLDONE
